sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate
RNO,EHZ,UW,--,43.916199,-123.72496,0.0,,,100.0
WA2,EHZ,UW,P2,46.755192,-119.566811,0.0,,,100.0
WIW,EHZ,UW,P2,46.429192,-119.288803,0.0,,,100.0
WPW,EHZ,UW,--,46.698639,-121.537338,0.0,,,100.0
BLT,EHZ,UW,P1,45.915001,-120.176987,0.0,,,100.0
LNO,EHZ,UW,P1,45.871761,-118.287071,0.0,,,100.0
PAT2,EHZ,UW,P1,45.883621,-119.757751,0.0,,,100.0
YPT,EHZ,UW,P1,46.04858,-118.963287,0.0,,,100.0
ET4,EHZ,UW,P1,46.563419,-118.945107,0.0,,,100.0
SMW,EHZ,UW,--,47.31945,-123.344452,0.0,,,100.0
SAW,EHZ,UW,--,47.70153,-119.401649,0.0,,,100.0
VLL,EHZ,UW,--,45.463169,-121.680351,0.0,,,100.0
MBW,EHZ,UW,--,48.783798,-121.900902,0.0,,,100.0
MCW,EHZ,UW,--,48.679001,-122.832603,0.0,,,100.0
VFP,EHZ,UW,--,45.317902,-121.46627,0.0,,,100.0
RPW,EHZ,UW,--,48.44817,-121.514847,0.0,,,100.0
GPW,EHZ,UW,--,48.117901,-121.137901,0.0,,,100.0
VT2,EHZ,UW,--,46.96719,-120.000328,0.0,,,100.0
VGB,EHZ,UW,--,45.515511,-120.778671,0.0,,,100.0
YA2,EHZ,UW,--,46.52652,-120.531181,0.0,,,100.0
WRD,EHZ,UW,--,46.96986,-119.145958,0.0,,,100.0
TWW,EHZ,UW,--,47.138008,-120.869522,0.0,,,100.0
TBM,EHZ,UW,--,47.169849,-120.599182,0.0,,,100.0
MOON,EHZ,UW,--,44.051552,-121.669479,0.0,,,100.0
OTR,EHZ,UW,--,48.08535,-124.34549,0.0,,,100.0
OBC,EHZ,UW,--,48.03511,-124.078819,0.0,,,100.0
GBB,EHZ,UW,--,46.608688,-119.628983,0.0,,,100.0
NN21,EHZ,UW,01,43.73317,-121.289879,210.3,,,125.0
BEN,EHZ,UW,--,46.518631,-119.718521,0.0,,,100.0
RSW,EHZ,UW,--,46.39436,-119.592468,0.0,,,100.0
RED,EHZ,UW,--,46.297359,-119.438797,0.0,,,100.0
SNI,EHZ,UW,--,46.46386,-119.660889,0.0,,,100.0
BLT,EHZ,UW,--,45.915001,-120.176987,0.0,,,100.0
PAT2,EHZ,UW,--,45.883621,-119.757751,0.0,,,100.0
YPT,EHZ,UW,--,46.04858,-118.963287,0.0,,,100.0
ET4,EHZ,UW,--,46.563419,-118.945107,0.0,,,100.0
LNO,EHZ,UW,--,45.871761,-118.287071,0.0,,,100.0
H2O,EHZ,UW,--,46.39555,-119.42411,0.0,,,100.0
WA2,EHZ,UW,--,46.755192,-119.566811,0.0,,,100.0
WIW,EHZ,UW,--,46.429192,-119.288803,0.0,,,100.0
VVHS,EHZ,UW,--,47.423355,-122.455276,0.0,,,100.0
SVOH,EHZ,UW,--,48.2892,-122.633163,0.0,,,100.0
GSM,EHZ,UW,--,47.20388,-121.796043,0.0,,,100.0
OCP,EHZ,UW,--,48.297874,-124.62516,0.0,,,100.0
OSD,EHZ,UW,--,47.816238,-123.705109,0.0,,,100.0
MBW,EHZ,UW,01,48.783798,-121.900902,0.0,,,100.0
MCW,EHZ,UW,01,48.679001,-122.832603,0.0,,,100.0
RPW,EHZ,UW,01,48.44817,-121.514847,0.0,,,100.0
GPW,EHZ,UW,01,48.117901,-121.137901,0.0,,,100.0
