sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate
AXAS1,EHZ,OO,,45.93356,-129.9992,-1529,8/1/14,12/31/99,100
AXAS2,EHZ,OO,,45.93377,-130.0141,-1544.4,8/1/14,12/31/99,100
AXBA1,BHZ,OO,,45.82018,-129.7367,-2607.2,8/1/14,12/31/99,50
AXCC1,BHZ,OO,,45.95468,-130.0089,-1528,7/25/14,12/31/99,50
AXEC1,EHZ,OO,,45.94958,-129.9797,-1512,8/1/14,12/31/99,100
AXEC2,BHZ,OO,,45.93967,-129.9738,-1519,7/27/13,12/31/99,50
AXEC3,EHZ,OO,,45.93607,-129.9785,-1516,8/1/14,12/31/99,100
AXID1,EHZ,OO,,45.92573,-129.978,-1527.5,7/24/14,12/31/99,100
